Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s]  Tmax[K]  Tvent[K]  K2CO3[kg]  Uvent[m/s]  meanYfu  SMAX
    1    0.001    745.7    670.7  1.413e-05  2.005e-01  0.9931  0.00e+00
    2    0.002   1045.6    920.4  2.276e-05  2.322e-01  0.9884  5.31e-06
    3    0.003   1247.5   1088.5  2.781e-05  2.405e-01  0.9853  5.80e-06
    4    0.004   1382.1   1200.7  3.059e-05  2.416e-01  0.9832  5.19e-06
    5    0.005   1470.9   1275.0  3.195e-05  2.398e-01  0.9818  4.24e-06
    6    0.006   1528.4   1323.4  3.241e-05  2.366e-01  0.9808  3.26e-06
    7    0.007   1564.8   1354.4  3.232e-05  2.328e-01  0.9802  2.37e-06
    8    0.008   1586.9   1373.7  3.191e-05  2.288e-01  0.9797  1.63e-06
    9    0.009   1599.4   1385.2  3.130e-05  2.247e-01  0.9794  1.04e-06
   10    0.010   1605.5   1391.5  3.059e-05  2.206e-01  0.9791  5.80e-07
   11    0.011   1607.4   1394.4  2.984e-05  2.166e-01  0.9789  2.98e-07
   12    0.012   1606.5   1395.1  2.907e-05  2.127e-01  0.9788  1.21e-07
   13    0.013   1603.9   1394.5  2.832e-05  2.089e-01  0.9786  1.93e-07
   14    0.014   1600.3   1393.0  2.758e-05  2.053e-01  0.9785  3.15e-07
   15    0.015   1599.7   1391.0  2.687e-05  2.018e-01  0.9784  3.96e-07
   16    0.016   1599.9   1388.9  2.620e-05  1.985e-01  0.9783  4.44e-07
   17    0.017   1599.5   1386.7  2.556e-05  1.954e-01  0.9782  2.79e-07
   18    0.018   1598.8   1384.6  2.495e-05  1.923e-01  0.9781  1.67e-07
   19    0.019   1597.7   1382.6  2.438e-05  1.894e-01  0.9781  2.26e-07
   20    0.020   1596.3   1380.7  2.384e-05  1.867e-01  0.9780  2.53e-07
   21    0.021   1594.7   1379.1  2.333e-05  1.841e-01  0.9779  2.59e-07
   22    0.022   1593.0   1377.7  2.285e-05  1.816e-01  0.9778  2.53e-07
   23    0.023   1591.0   1376.5  2.240e-05  1.793e-01  0.9777  2.39e-07
   24    0.024   1588.9   1375.5  2.198e-05  1.770e-01  0.9776  2.22e-07
   25    0.025   1586.7   1374.8  2.159e-05  1.749e-01  0.9775  2.04e-07
   26    0.026   1584.3   1374.2  2.122e-05  1.729e-01  0.9774  1.86e-07
   27    0.027   1581.9   1373.8  2.088e-05  1.710e-01  0.9773  1.68e-07
   28    0.028   1579.4   1373.6  2.055e-05  1.692e-01  0.9772  1.52e-07
   29    0.029   1576.8   1373.6  2.025e-05  1.676e-01  0.9771  1.37e-07
   30    0.030   1574.1   1373.8  1.997e-05  1.660e-01  0.9770  1.27e-07
   31    0.031   1571.4   1374.1  1.971e-05  1.646e-01  0.9769  1.29e-07
   32    0.032   1568.7   1374.5  1.947e-05  1.633e-01  0.9768  1.29e-07
   33    0.033   1565.9   1375.1  1.925e-05  1.620e-01  0.9767  1.27e-07
   34    0.034   1563.2   1375.9  1.905e-05  1.610e-01  0.9766  1.22e-07
   35    0.035   1560.4   1376.8  1.886e-05  1.600e-01  0.9765  1.16e-07
   36    0.036   1557.6   1378.0  1.869e-05  1.592e-01  0.9764  1.07e-07
   37    0.037   1554.9   1379.3  1.853e-05  1.585e-01  0.9763  9.52e-08
   38    0.038   1552.1   1380.8  1.839e-05  1.580e-01  0.9762  8.13e-08
   39    0.039   1549.4   1382.7  1.827e-05  1.577e-01  0.9760  8.19e-08
   40    0.040   1546.8   1384.9  1.817e-05  1.576e-01  0.9759  8.64e-08
   41    0.041   1544.1   1387.7  1.808e-05  1.577e-01  0.9758  9.35e-08
   42    0.042   1541.5   1391.2  1.802e-05  1.582e-01  0.9756  1.04e-07
   43    0.043   1539.0   1395.8  1.798e-05  1.590e-01  0.9754  1.38e-07
   44    0.044   1536.6   1402.3  1.796e-05  1.604e-01  0.9752  1.97e-07
   45    0.045   1534.2   1412.2  1.799e-05  1.626e-01  0.9750  2.83e-07
   46    0.046   1531.8   1429.4  1.809e-05  1.659e-01  0.9748  4.22e-07
   47    0.047   1529.6   1461.9  1.830e-05  1.710e-01  0.9744  6.77e-07
   48    0.048   1527.4   1483.9  1.851e-05  1.766e-01  0.9740  1.29e-06
   49    0.049   1525.3   1498.0  1.877e-05  1.833e-01  0.9735  1.89e-06
   50    0.050   1523.5   1507.6  1.916e-05  1.920e-01  0.9730  2.09e-06
   51    0.051   1528.2   1513.9  1.973e-05  2.025e-01  0.9722  2.11e-06
   52    0.052   1549.1   1518.3  2.024e-05  2.126e-01  0.9715  2.05e-06
   53    0.053   1562.9   1521.4  2.066e-05  2.225e-01  0.9708  1.93e-06
   54    0.054   1571.4   1523.5  2.112e-05  2.337e-01  0.9701  1.79e-06
   55    0.055   1576.1   1525.1  2.168e-05  2.462e-01  0.9692  1.68e-06
   56    0.056   1578.2   1526.5  2.220e-05  2.586e-01  0.9684  1.60e-06
   57    0.057   1578.4   1527.8  2.270e-05  2.706e-01  0.9676  1.76e-06
   58    0.058   1577.3   1528.9  2.298e-05  2.804e-01  0.9670  1.98e-06
   59    0.059   1575.3   1529.5  2.315e-05  2.893e-01  0.9665  2.00e-06
   60    0.060   1572.7   1529.7  2.331e-05  2.982e-01  0.9660  1.90e-06
   61    0.061   1569.7   1529.5  2.354e-05  3.076e-01  0.9655  1.76e-06
   62    0.062   1566.4   1529.0  2.362e-05  3.147e-01  0.9651  1.63e-06
   63    0.063   1562.9   1528.1  2.362e-05  3.205e-01  0.9648  1.42e-06
   64    0.064   1559.4   1527.0  2.357e-05  3.254e-01  0.9645  1.21e-06
   65    0.065   1555.9   1525.7  2.350e-05  3.295e-01  0.9643  1.00e-06
   66    0.066   1552.3   1524.3  2.341e-05  3.330e-01  0.9642  8.16e-07
   67    0.067   1549.6   1522.8  2.333e-05  3.360e-01  0.9640  7.22e-07
   68    0.068   1549.0   1521.1  2.324e-05  3.386e-01  0.9638  6.71e-07
   69    0.069   1548.4   1519.4  2.317e-05  3.408e-01  0.9637  6.26e-07
   70    0.070   1547.7   1517.7  2.310e-05  3.426e-01  0.9636  5.86e-07
   71    0.071   1547.0   1515.9  2.304e-05  3.443e-01  0.9634  5.50e-07
   72    0.072   1546.2   1514.1  2.299e-05  3.457e-01  0.9633  5.17e-07
   73    0.073   1545.4   1512.3  2.296e-05  3.469e-01  0.9631  4.89e-07
   74    0.074   1544.5   1510.6  2.294e-05  3.481e-01  0.9630  4.64e-07
   75    0.075   1543.6   1508.8  2.293e-05  3.494e-01  0.9628  4.43e-07
   76    0.076   1542.6   1507.0  2.294e-05  3.507e-01  0.9627  4.28e-07
   77    0.077   1541.6   1505.2  2.297e-05  3.523e-01  0.9625  4.18e-07
   78    0.078   1540.6   1503.4  2.304e-05  3.544e-01  0.9623  4.17e-07
   79    0.079   1539.6   1501.6  2.315e-05  3.574e-01  0.9620  4.28e-07
   80    0.080   1538.5   1499.9  2.336e-05  3.621e-01  0.9617  4.58e-07
   81    0.081   1537.4   1498.1  2.369e-05  3.685e-01  0.9613  5.17e-07
   82    0.082   1536.3   1496.4  2.391e-05  3.727e-01  0.9609  6.00e-07
   83    0.083   1535.2   1494.7  2.405e-05  3.759e-01  0.9606  6.12e-07
   84    0.084   1534.1   1493.0  2.415e-05  3.786e-01  0.9603  6.03e-07
   85    0.085   1532.9   1491.3  2.424e-05  3.811e-01  0.9601  5.93e-07
   86    0.086   1531.8   1489.6  2.432e-05  3.836e-01  0.9599  5.90e-07
   87    0.087   1530.6   1488.0  2.442e-05  3.863e-01  0.9596  5.99e-07
   88    0.088   1529.5   1486.4  2.453e-05  3.894e-01  0.9594  6.30e-07
   89    0.089   1528.4   1485.0  2.469e-05  3.935e-01  0.9591  6.92e-07
   90    0.090   1527.3   1483.7  2.492e-05  3.993e-01  0.9587  8.09e-07
   91    0.091   1526.4   1482.9  2.527e-05  4.076e-01  0.9582  1.02e-06
   92    0.092   1525.6   1482.1  2.571e-05  4.177e-01  0.9576  1.40e-06
   93    0.093   1524.8   1481.2  2.626e-05  4.293e-01  0.9569  1.66e-06
   94    0.094   1523.9   1480.2  2.680e-05  4.399e-01  0.9562  1.76e-06
   95    0.095   1523.0   1478.9  2.717e-05  4.471e-01  0.9556  1.71e-06
   96    0.096   1522.0   1477.4  2.745e-05  4.533e-01  0.9552  1.53e-06
   97    0.097   1520.8   1475.7  2.773e-05  4.598e-01  0.9547  1.32e-06
   98    0.098   1519.5   1473.8  2.809e-05  4.682e-01  0.9541  1.13e-06
   99    0.099   1517.9   1471.7  2.854e-05  4.779e-01  0.9534  1.00e-06
  100    0.100   1516.3   1469.5  2.892e-05  4.856e-01  0.9528  9.05e-07
  101    0.101   1514.4   1467.2  2.922e-05  4.918e-01  0.9523  7.69e-07
  102    0.102   1512.4   1464.9  2.953e-05  4.985e-01  0.9518  6.29e-07
  103    0.103   1510.3   1462.5  2.982e-05  5.046e-01  0.9512  6.44e-07
  104    0.104   1509.4   1460.2  3.010e-05  5.102e-01  0.9507  6.42e-07
