Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s]  Tmax[K]  Tvent[K]  K2CO3[kg]  Uvent[m/s]  meanYfu  SMAX
    1    0.001    742.6    520.5  2.114e-06  3.091e-02  0.9990  0.00e+00
    2    0.002   1039.6    669.5  3.408e-06  3.629e-02  0.9983  6.87e-07
    3    0.003   1238.0    769.6  4.176e-06  3.838e-02  0.9978  9.13e-07
    4    0.004   1369.1    836.4  4.612e-06  3.944e-02  0.9975  9.42e-07
    5    0.005   1454.4    880.7  4.841e-06  4.005e-02  0.9973  8.69e-07
    6    0.006   1508.6    909.7  4.940e-06  4.041e-02  0.9971  7.53e-07
    7    0.007   1541.9    928.5  4.960e-06  4.059e-02  0.9970  6.27e-07
    8    0.008   1561.0    940.5  4.933e-06  4.064e-02  0.9969  5.07e-07
    9    0.009   1570.8    947.9  4.879e-06  4.059e-02  0.9968  4.02e-07
   10    0.010   1574.3    952.4  4.810e-06  4.046e-02  0.9968  3.12e-07
   11    0.011   1573.6    954.8  4.734e-06  4.025e-02  0.9967  2.38e-07
   12    0.012   1570.3    956.1  4.657e-06  4.000e-02  0.9967  1.79e-07
   13    0.013   1565.3    956.6  4.580e-06  3.970e-02  0.9966  1.31e-07
   14    0.014   1559.3    956.6  4.507e-06  3.936e-02  0.9966  9.43e-08
   15    0.015   1552.8    956.5  4.438e-06  3.900e-02  0.9966  6.55e-08
   16    0.016   1546.0    956.2  4.374e-06  3.862e-02  0.9965  5.08e-08
   17    0.017   1539.2    956.0  4.314e-06  3.823e-02  0.9965  6.65e-08
   18    0.018   1532.6    955.9  4.259e-06  3.782e-02  0.9965  7.78e-08
   19    0.019   1526.1    955.8  4.208e-06  3.742e-02  0.9964  8.55e-08
   20    0.020   1520.0    956.0  4.163e-06  3.701e-02  0.9964  9.04e-08
   21    0.021   1514.2    956.3  4.121e-06  3.660e-02  0.9964  9.33e-08
   22    0.022   1508.7    956.8  4.084e-06  3.620e-02  0.9963  9.44e-08
   23    0.023   1503.7    957.5  4.050e-06  3.581e-02  0.9963  9.43e-08
   24    0.024   1499.0    958.4  4.021e-06  3.543e-02  0.9963  9.32e-08
   25    0.025   1494.7    959.4  3.994e-06  3.506e-02  0.9962  9.13e-08
   26    0.026   1490.7    960.6  3.971e-06  3.470e-02  0.9962  8.87e-08
   27    0.027   1487.1    962.0  3.952e-06  3.435e-02  0.9962  8.57e-08
   28    0.028   1483.9    963.6  3.935e-06  3.402e-02  0.9961  8.24e-08
   29    0.029   1481.0    965.3  3.921e-06  3.371e-02  0.9961  7.88e-08
