[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Examples] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Examples\Models] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Examples\Models\Control_Engineering] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\Install_Sperte] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\Install_Sperte\Install_Simulink_Lib] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\common] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\SPERTE_Blocks] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\SPERTE_Blocks\sfunctions] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\ref3ma] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Callibration_check_Robot_Ipos_ert_rtw] 
xKN=0.65 | yK2=0.444 | f_gas=0.556 | dTad=1481 K | T_flame=1779 K | R=352 J/kg/K
step	 time	 iter	 pbar[Pa] Tvent[K] uvent[m/s] m_in	 m_vent	 massErr	 xf[mm]
    1    0.0000   1      0.11    298.0     0.07  1.02e-04  1.22e-03  1.12e-03    9.13
  100    0.0020  40     55.44    301.8     2.60  1.02e-02  4.32e-02  9.79e-03    9.13
  200    0.0040  40    -10.29    308.7     3.46  2.04e-02  5.60e-02 -7.83e-03    9.13
  300    0.0060  40     66.21    346.7     4.96  3.05e-02  7.13e-02 -2.53e-03    9.13
  400    0.0080  40     25.99    454.6     7.76  4.07e-02  8.48e-02  1.96e-03    9.13
  500    0.0100  40    129.97    752.2    12.83  5.09e-02  8.68e-02  1.25e-03    9.13
  600    0.0120  40    170.07   1083.7    17.96  6.11e-02  8.42e-02  6.82e-04    9.13
  700    0.0140  32    210.22   1356.9    22.73  7.13e-02  8.43e-02  1.58e-04    9.13
  800    0.0160  31    261.74   1572.3    27.39  8.15e-02  8.74e-02  1.32e-04    9.14
  900    0.0180  28    326.44   1705.4    31.90  9.17e-02  9.39e-02  1.73e-04    9.14
 1000    0.0200   9    395.75   1759.9    35.94  1.02e-01  1.03e-01  3.19e-04    9.14
 1100    0.0220   1    484.47   1775.8    39.73  1.12e-01  1.13e-01  3.43e-04    9.14
 1200    0.0240   5    580.62   1779.4    43.44  1.22e-01  1.23e-01  4.74e-04    9.15
 1300    0.0260   4    680.93   1780.2    47.08  1.33e-01  1.33e-01  6.31e-04    9.15
 1400    0.0280   5    790.16   1780.3    50.72  1.43e-01  1.44e-01  8.05e-04    9.16
 1500    0.0300   4    907.60   1780.0    54.37  1.53e-01  1.54e-01  1.01e-03    9.16
 1600    0.0320   4   1033.59   1779.9    58.02  1.63e-01  1.65e-01  1.22e-03    9.17
 1700    0.0340   4   1168.03   1779.9    61.67  1.74e-01  1.75e-01  1.47e-03    9.17
 1800    0.0360   4   1311.00   1780.0    65.33  1.84e-01  1.86e-01  1.75e-03    9.18
 1900    0.0380   4   1462.56   1780.0    68.99  1.94e-01  1.96e-01  2.07e-03    9.18
 2000    0.0400   4   1622.79   1780.0    72.66  2.05e-01  2.07e-01  2.42e-03    9.19
 2100    0.0420   4   1792.02   1780.1    76.34  2.15e-01  2.18e-01  2.81e-03    9.20
 2200    0.0440   2   1970.11   1780.2    80.02  2.25e-01  2.28e-01  3.16e-03    9.20
 2300    0.0460   1   2155.99   1780.2    83.69  2.36e-01  2.39e-01  3.58e-03    9.21
 2400    0.0480   1   2351.72   1780.2    87.39  2.46e-01  2.50e-01  4.09e-03    9.22
 2500    0.0500   1   2556.55   1780.2    91.08  2.57e-01  2.61e-01  4.65e-03    9.22
 2600    0.0520   1   2556.40   1779.0    91.09  2.57e-01  2.61e-01  4.84e-03    9.23
 2700    0.0540   1   2556.35   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.24
 2800    0.0560   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03    9.25
