Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s] iter  Tmax[K]  Tvent[K]  Pchamber[kPa]  Pfield[Pa]  Uvent[m/s]  K2CO3[kg]  meanYfu  SMAX
    1    0.001    1    721.9    510.2       102.57       0.03  0.000e+00  2.115e-06  0.9990  7.41e-05
    2    0.002    1    980.2    642.4       104.04       0.99  4.509e+01  3.374e-06  0.9983  5.95e-04
    3    0.003    1   1123.7    726.7       105.03       1.63  6.619e+01  4.538e-06  0.9978  2.68e-04
    4    0.004    1   1202.3    781.8       105.45       1.71  7.869e+01  5.834e-06  0.9975  1.61e-04
    5    0.005    1   1244.4    818.2       105.38       1.28  8.450e+01  7.192e-06  0.9972  2.34e-04
    6    0.006    1   1265.2    841.0       104.95       0.58  8.500e+01  8.438e-06  0.9971  3.08e-04
    7    0.007    1   1273.1    853.5       104.33       0.03  8.143e+01  9.442e-06  0.9969  3.00e-04
    8    0.008    1   1272.7    857.7       103.71      -0.02  7.519e+01  1.017e-05  0.9968  2.42e-04
    9    0.009    1   1265.1    855.0       103.25       0.17  6.795e+01  1.066e-05  0.9965  1.45e-04
   10    0.010    1   1253.9    846.2       103.03       0.28  6.171e+01  1.112e-05  0.9961  7.61e-05
   11    0.011    1   1328.1    833.4       103.07       0.31  5.831e+01  1.193e-05  0.9953  1.07e-04
   12    0.012    1   1477.1    821.5       103.28       0.26  5.840e+01  1.233e-05  0.9948  1.80e-04
   13    0.013    1   1553.8    811.0       103.55       0.16  6.086e+01  1.244e-05  0.9943  1.93e-04
   14    0.014    1   1587.5    801.3       103.78       0.05  6.390e+01  1.243e-05  0.9941  1.53e-04
   15    0.015    1   1593.7    791.6       103.90      -0.05  6.620e+01  1.240e-05  0.9938  8.17e-05
   16    0.016    1   1579.6    782.0       103.88      -0.00  6.711e+01  1.235e-05  0.9937  1.06e-05
   17    0.017    1   1554.1    772.8       103.75      -0.03  6.653e+01  1.228e-05  0.9936  4.35e-05
   18    0.018    1   1523.9    764.2       103.57      -0.05  6.473e+01  1.218e-05  0.9935  6.82e-05
   19    0.019    1   1490.6    756.4       103.38      -0.05  6.222e+01  1.202e-05  0.9934  6.49e-05
   20    0.020    1   1453.9    749.4       103.24      -0.01  5.967e+01  1.181e-05  0.9933  3.91e-05
   21    0.021    1   1415.9    743.1       103.18       0.04  5.770e+01  1.157e-05  0.9932  3.59e-06
   22    0.022    1   1378.5    737.0       103.19       0.07  5.669e+01  1.131e-05  0.9931  3.14e-05
   23    0.023    1   1343.4    730.9       103.26       0.08  5.665e+01  1.106e-05  0.9930  5.07e-05
   24    0.024    1   1311.7    724.8       103.33       0.08  5.720e+01  1.084e-05  0.9930  5.34e-05
   25    0.025    1   1283.8    718.8       103.38       0.07  5.786e+01  1.066e-05  0.9929  4.00e-05
   26    0.026    1   1259.4    713.0       103.39       0.08  5.824e+01  1.051e-05  0.9928  1.76e-05
